"States","Confirmed","Deaths","Recovered"
"Anhui",990,6,917
"Beijing",414,8,282
"Chongqing",576,6,469
"Fujian",296,1,255
"Gansu",91,2,85
"Guangdong",1350,7,1059
"Guangxi",252,2,192
"Guizhou",146,2,114
"Hainan",168,5,151
"Hebei",318,6,296
"Heilongjiang",480,13,356
"Henan",1272,22,1205
"Hunan",1018,4,887
"Inner Mongolia",75,0,54
"Jiangsu",631,0,543
"Jiangxi",935,1,850
"Jilin",93,1,83
"Liaoning",122,1,103
"Ningxia",74,0,69
"Qinghai",18,0,18
"Shaanxi",245,1,216
"Shandong",758,6,460
"Shanghai",337,3,292
"Shanxi",133,0,119
"Sichuan",538,3,386
"Tianjin",136,3,111
"Tibet",1,0,1
"Xinjiang",76,3,66
"Yunnan",174,2,168
"Zhejiang",1206,1,1069
