"Location","Day","Date","Confirmed","Deaths","Recovered","Active.Cases","Closed.Cases"
"Hubei","1","21-01-2020",270,0,25,245,25
"China","1","21-01-2020",55,0,0,55,0
"World","1","21-01-2020",60,0,0,60,0
"Diamond Princess","1","21-01-2020",0,0,0,0,0
"Hubei","2","22-01-2020",444,17,28,399,45
"China","2","22-01-2020",103,0,0,103,0
"World","2","22-01-2020",111,0,0,111,0
"Diamond Princess","2","22-01-2020",0,0,0,0,0
"Hubei","3","23-01-2020",444,17,28,399,45
"China","3","23-01-2020",195,1,2,192,3
"World","3","23-01-2020",209,0,0,209,0
"Diamond Princess","3","23-01-2020",0,0,0,0,0
"Hubei","4","24-01-2020",549,24,31,494,55
"China","4","24-01-2020",367,2,5,360,7
"World","4","24-01-2020",392,0,0,392,0
"Diamond Princess","4","24-01-2020",0,0,0,0,0
"Hubei","5","25-01-2020",761,40,32,689,72
"China","5","25-01-2020",638,2,7,629,9
"World","5","25-01-2020",673,0,0,673,0
"Diamond Princess","5","25-01-2020",0,0,0,0,0
"Hubei","6","26-01-2020",1058,52,42,964,94
"China","6","26-01-2020",1004,4,7,993,11
"World","6","26-01-2020",1060,0,3,1057,3
"Diamond Princess","6","26-01-2020",0,0,0,0,0
"Hubei","7","27-01-2020",1423,76,45,1302,121
"China","7","27-01-2020",1440,6,13,1421,19
"World","7","27-01-2020",1504,0,3,1501,3
"Diamond Princess","7","27-01-2020",0,0,0,0,0
"Hubei","8","28-01-2020",3554,125,80,3349,205
"China","8","28-01-2020",1940,6,21,1913,27
"World","8","28-01-2020",2024,0,6,2018,6
"Diamond Princess","8","28-01-2020",0,0,0,0,0
"Hubei","9","29-01-2020",3554,125,88,3341,213
"China","9","29-01-2020",2516,8,32,2476,40
"World","9","29-01-2020",2612,0,6,2606,6
"Diamond Princess","9","29-01-2020",0,0,0,0,0
"Hubei","10","30-01-2020",4903,162,90,4651,252
"China","10","30-01-2020",3221,9,45,3167,54
"World","10","30-01-2020",3331,0,8,3323,8
"Diamond Princess","10","30-01-2020",0,0,0,0,0
"Hubei","11","31-01-2020",5806,204,141,5461,345
"China","11","31-01-2020",3977,9,73,3895,82
"World","11","31-01-2020",4121,0,8,4113,8
"Diamond Princess","11","31-01-2020",0,0,0,0,0
"Hubei","12","01-02-2020",7153,249,168,6736,417
"China","12","01-02-2020",4718,10,107,4601,117
"World","12","01-02-2020",4885,0,9,4876,9
"Diamond Princess","12","01-02-2020",0,0,0,0,0
"Hubei","13","02-02-2020",11177,350,295,10532,645
"China","13","02-02-2020",5430,11,168,5251,179
"World","13","02-02-2020",5610,1,9,5600,10
"Diamond Princess","13","02-02-2020",0,0,0,0,0
"Hubei","14","03-02-2020",13522,414,386,12722,800
"China","14","03-02-2020",6171,11,228,5932,239
"World","14","03-02-2020",6359,1,9,6349,10
"Diamond Princess","14","03-02-2020",0,0,0,0,0
"Hubei","15","04-02-2020",16678,479,522,15677,1001
"China","15","04-02-2020",7002,11,321,6670,332
"World","15","04-02-2020",7214,2,9,7203,11
"Diamond Princess","15","04-02-2020",0,0,0,0,0
"Hubei","16","05-02-2020",19665,549,633,18483,1182
"China","16","05-02-2020",7744,13,482,7249,495
"World","16","05-02-2020",7971,2,9,7960,11
"Diamond Princess","16","05-02-2020",0,0,0,0,0
"Hubei","17","06-02-2020",22112,618,817,20677,1435
"China","17","06-02-2020",8441,14,659,7768,673
"World","17","06-02-2020",8706,2,11,8693,13
"Diamond Princess","17","06-02-2020",0,0,0,0,0
"Hubei","18","07-02-2020",24953,699,1115,23139,1814
"China","18","07-02-2020",9122,18,883,8221,901
"World","18","07-02-2020",9378,2,13,9363,15
"Diamond Princess","18","07-02-2020",61,0,0,61,0
"Hubei","19","08-02-2020",27100,780,1439,24881,2219
"China","19","08-02-2020",9678,24,1156,8498,1180
"World","19","08-02-2020",9960,2,21,9937,23
"Diamond Princess","19","08-02-2020",61,0,0,61,0
"Hubei","20","09-02-2020",29631,871,1795,26965,2666
"China","20","09-02-2020",10159,33,1423,8703,1456
"World","20","09-02-2020",10456,2,26,10428,28
"Diamond Princess","20","09-02-2020",64,0,0,64,0
"Hubei","21","10-02-2020",31728,974,2222,28532,3196
"China","21","10-02-2020",10578,37,1695,8846,1732
"World","21","10-02-2020",10900,2,29,10869,31
"Diamond Princess","21","10-02-2020",135,0,0,135,0
"Hubei","22","11-02-2020",33366,1068,2639,29659,3707
"China","22","11-02-2020",10961,43,1996,8922,2039
"World","22","11-02-2020",11302,2,48,11252,50
"Diamond Princess","22","11-02-2020",135,0,0,135,0
"Hubei","23","12-02-2020",33366,1068,2686,29612,3754
"China","23","12-02-2020",11333,48,2393,8892,2441
"World","23","12-02-2020",11681,2,71,11608,73
"Diamond Princess","23","12-02-2020",175,0,0,175,0
"Hubei","24","13-02-2020",48206,1310,3459,43437,4769
"China","24","13-02-2020",11626,58,2754,8814,2812
"World","24","13-02-2020",11989,3,82,11904,85
"Diamond Princess","24","13-02-2020",175,0,0,175,0
"Hubei","25","14-02-2020",54406,1457,4774,48175,6231
"China","25","14-02-2020",11886,63,3199,8624,3262
"World","25","14-02-2020",12263,3,85,12175,88
"Diamond Princess","25","14-02-2020",218,0,0,218,0
"Hubei","26","15-02-2020",56249,1596,5623,49030,7219
"China","26","15-02-2020",12098,66,3671,8361,3737
"World","26","15-02-2020",12498,4,101,12393,105
"Diamond Princess","26","15-02-2020",285,0,0,285,0
"Hubei","27","16-02-2020",58182,1696,6639,49847,8335
"China","27","16-02-2020",12264,69,4109,8086,4178
"World","27","16-02-2020",12689,5,117,12567,122
"Diamond Princess","27","16-02-2020",355,0,0,355,0
"Hubei","28","17-02-2020",59989,1789,7862,50338,9651
"China","28","17-02-2020",12375,74,4593,7708,4667
"World","28","17-02-2020",12817,5,128,12684,133
"Diamond Princess","28","17-02-2020",454,0,0,454,0
"Hubei","29","18-02-2020",61682,1921,9128,50633,11049
"China","29","18-02-2020",12457,81,5071,7305,5152
"World","29","18-02-2020",12914,5,153,12756,158
"Diamond Princess","29","18-02-2020",542,0,0,542,0
"Hubei","30","19-02-2020",62031,2029,10337,49665,12366
"China","30","19-02-2020",12515,85,5615,6815,5700
"World","30","19-02-2020",12989,8,168,12813,176
"Diamond Princess","30","19-02-2020",621,0,1,620,1
"Hubei","31","20-02-2020",62442,2144,11788,48510,13932
"China","31","20-02-2020",12557,92,6214,6251,6306
"World","31","20-02-2020",13123,9,174,12940,183
"Diamond Princess","31","20-02-2020",634,2,1,631,3
"Hubei","32","21-02-2020",62662,2144,11881,48637,14025
"China","32","21-02-2020",12810,92,6812,5906,6904
"World","32","21-02-2020",13547,13,196,13338,209
"Diamond Princess","32","21-02-2020",634,2,1,631,3
