"State","Day","Date","Confirmed","Deaths","Recovered"
"Hubei","1","21-01-2020","270","0","25"
"Hubei","2","22-01-2020","444","17","28"
"Hubei","3","23-01-2020","444","17","28"
"Hubei","4","24-01-2020","549","24","31"
"Hubei","5","25-01-2020","761","40","32"
"Hubei","6","26-01-2020","1058","52","42"
"Hubei","7","27-01-2020","1423","76","45"
"Hubei","8","28-01-2020","3554","125","80"
"Hubei","9","29-01-2020","3554","125","88"
"Hubei","10","30-01-2020","4903","162","90"
"Hubei","11","31-01-2020","5806","204","141"
"Hubei","12","01-02-2020","7153","249","168"
"Hubei","13","02-02-2020","11177","350","295"
"Hubei","14","03-02-2020","13522","414","386"
"Hubei","15","04-02-2020","16678","479","522"
"Hubei","16","05-02-2020","19665","549","633"
"Hubei","17","06-02-2020","22112","618","817"
"Hubei","18","07-02-2020","24953","699","1115"
"Hubei","19","08-02-2020","27100","780","1439"
"Hubei","20","09-02-2020","29631","871","1795"
"Hubei","21","10-02-2020","31728","974","2222"
"Hubei","22","11-02-2020","33366","1068","2639"
"Hubei","23","12-02-2020","33366","1068","2686"
"Hubei","24","13-02-2020","48206","1310","3459"
"Hubei","25","14-02-2020","54406","1457","4774"
"Hubei","26","15-02-2020","56249","1596","5623"
"Hubei","27","16-02-2020","58182","1696","6639"
"Hubei","28","17-02-2020","59989","1789","7862"
"Hubei","29","18-02-2020","61682","1921","9128"
"Hubei","30","19-02-2020","62031","2029","10337"
"Hubei","31","20-02-2020","62442","2144","11788"
"Hubei","32","21-02-2020","62662","2144","11881"
"Hubei","33","22-02-2020","64084","2346","15299"
"Hubei","34","23-02-2020","64084","2346","15343"
"Hubei","35","24-02-2020","64287","2495","16748"
"Hubei","36","25-02-2020","64786","2563","18971"
"Hubei","37","26-02-2020","65187","2615","20969"
"Hubei","38","27-02-2020","65596","2641","23383"
"Hubei","39","28-02-2020","65914","2682","26403"
"Hubei","40","29-02-2020","66337","2727","28993"
"Hubei","41","01-03-2020","66907","2761","31536"
"Hubei","42","02-03-2020","67103","2803","33934"
"Hubei","43","03-03-2020","67217","2835","36208"
"Hubei","44","04-03-2020","67332","2871","38557"
