"States","Confirmed","Deaths","Recovered","Active.Cases","Closed.Cases"
"Anhui",990,6,979,5,985
"Beijing",426,8,303,115,311
"Chongqing",576,6,526,44,532
"Fujian",296,1,295,0,296
"Gansu",120,2,87,31,89
"Guangdong",1352,7,1237,108,1244
"Guangxi",252,2,218,32,220
"Guizhou",146,2,115,29,117
"Hainan",168,6,158,4,164
"Hebei",318,6,307,5,313
"Heilongjiang",481,13,403,65,416
"Henan",1272,22,1244,6,1266
"Hunan",1018,4,960,54,964
"Inner Mongolia",75,1,67,7,68
"Jiangsu",631,0,606,25,606
"Jiangxi",935,1,916,18,917
"Jilin",93,1,90,2,91
"Liaoning",125,1,107,17,108
"Ningxia",75,0,71,4,71
"Qinghai",18,0,18,0,18
"Shaanxi",245,1,226,18,227
"Shandong",758,6,627,125,633
"Shanghai",342,3,313,26,316
"Shanxi",133,0,126,7,126
"Sichuan",539,3,454,82,457
"Tianjin",136,3,128,5,131
"Tibet",1,0,1,0,1
"Xinjiang",76,3,72,1,75
"Yunnan",174,2,170,2,172
"Zhejiang",1215,1,1154,60,1155
