"Country","Confirmed","Deaths","Recovered","Active.Cases","Closed.Cases"
"Afghanistan",1,0,0,1,0
"Algeria",17,0,0,17,0
"Andorra",1,0,0,1,0
"Argentina",8,0,0,8,0
"Armenia",1,0,0,1,0
"Australia",63,2,21,40,23
"Austria",79,0,0,79,0
"Azerbaijan",9,0,0,9,0
"Bahrain",85,0,4,81,4
"Belarus",6,0,0,6,0
"Belgium",169,0,1,168,1
"Bhutan",1,0,0,1,0
"Bosnia and Herzegovina",3,0,0,3,0
"Brazil",13,0,0,13,0
"Cambodia",1,0,1,0,1
"Cameroon",1,0,0,1,0
"Canada",54,0,8,46,8
"Chile",4,0,0,4,0
"Colombia",1,0,0,1,0
"Costa Rica",1,0,0,1,0
"Croatia",12,0,0,12,0
"Czech Republic",19,0,0,19,0
"Denmark",23,0,1,22,1
"Dominican Republic",2,0,0,2,0
"Ecuador",13,0,0,13,0
"Egypt",15,0,1,14,1
"Estonia",10,0,0,10,0
"Faroe Islands",1,0,0,1,0
"Finland",15,0,1,14,1
"France",949,11,12,926,23
"French Guiana",5,0,0,5,0
"Georgia",4,0,0,4,0
"Germany",799,0,18,781,18
"Gibraltar",1,0,0,1,0
"Greece",46,0,0,46,0
"Hong Kong",108,2,51,55,53
"Hungary",4,0,0,4,0
"Iceland",50,0,0,50,0
"India",34,0,3,31,3
"Indonesia",4,0,0,4,0
"Iran",5823,145,1669,4009,1814
"Iraq",54,4,0,50,4
"Ireland",18,0,0,18,0
"Israel",21,0,2,19,2
"Italy",5883,233,589,5061,822
"Japan",461,6,76,379,82
"Jordan",1,0,0,1,0
"Kuwait",61,0,0,61,0
"Latvia",1,0,0,1,0
"Lebanon",22,0,1,21,1
"Liechtenstein",1,0,0,1,0
"Lithuania",1,0,0,1,0
"Luxembourg",2,0,0,2,0
"Macau",10,0,10,0,10
"Malaysia",93,0,23,70,23
"Malta",3,0,0,3,0
"Martinique",2,0,0,2,0
"Mexico",6,0,1,5,1
"Monaco",1,0,0,1,0
"Morocco",2,0,0,2,0
"Nepal",1,0,1,0,1
"Netherlands",188,1,0,187,1
"New Zealand",5,0,0,5,0
"Nigeria",1,0,0,1,0
"North Macedonia",3,0,0,3,0
"Norway",147,0,0,147,0
"Oman",16,0,2,14,2
"Pakistan",6,0,0,6,0
"Palestine",22,0,0,22,0
"Peru",1,0,0,1,0
"Philippines",6,1,1,4,2
"Poland",5,0,0,5,0
"Portugal",20,0,0,20,0
"Qatar",8,0,0,8,0
"Romania",9,0,3,6,3
"Russia",13,0,2,11,2
"Saint Barthelemy",3,0,0,3,0
"San Marino",23,1,0,22,1
"Saudi Arabia",5,0,0,5,0
"Senegal",4,0,0,4,0
"Serbia",1,0,0,1,0
"Singapore",138,0,78,60,78
"Slovakia",1,0,0,1,0
"Slovenia",7,0,0,7,0
"South Africa",1,0,0,1,0
"South Korea",7041,44,135,6862,179
"Spain",500,10,30,460,40
"Sri Lanka",1,0,1,0,1
"Sweden",161,0,0,161,0
"Switzerland",268,1,3,264,4
"Taiwan",45,1,12,32,13
"Thailand",50,1,31,18,32
"Togo",1,0,0,1,0
"Tunisia",1,0,0,1,0
"Ukraine",1,0,0,1,0
"United Arab Emirates",45,0,7,38,7
"United Kingdom",206,2,18,186,20
"United States",417,17,8,392,25
"Vatican City",1,0,0,1,0
"Vietnam",18,0,16,2,16
