"Location","Day","Date","Confirmed","Deaths","Recovered","Active.Cases","Closed.Cases"
"World","1","21-01-2020",60,0,0,60,0
"World","2","22-01-2020",111,0,0,111,0
"World","3","23-01-2020",209,0,0,209,0
"World","4","24-01-2020",392,0,0,392,0
"World","5","25-01-2020",673,0,0,673,0
"World","6","26-01-2020",1060,0,3,1057,3
"World","7","27-01-2020",1504,0,3,1501,3
"World","8","28-01-2020",2024,0,6,2018,6
"World","9","29-01-2020",2612,0,6,2606,6
"World","10","30-01-2020",3331,0,8,3323,8
"World","11","31-01-2020",4121,0,8,4113,8
"World","12","01-02-2020",4885,0,9,4876,9
"World","13","02-02-2020",5610,1,9,5600,10
"World","14","03-02-2020",6359,1,9,6349,10
"World","15","04-02-2020",7214,2,9,7203,11
"World","16","05-02-2020",7971,2,9,7960,11
"World","17","06-02-2020",8706,2,11,8693,13
"World","18","07-02-2020",9378,2,13,9363,15
"World","19","08-02-2020",9960,2,21,9937,23
"World","20","09-02-2020",10456,2,26,10428,28
"World","21","10-02-2020",10900,2,29,10869,31
"World","22","11-02-2020",11302,2,48,11252,50
"World","23","12-02-2020",11681,2,71,11608,73
"World","24","13-02-2020",11989,3,82,11904,85
"World","25","14-02-2020",12263,3,85,12175,88
"World","26","15-02-2020",12498,4,101,12393,105
"World","27","16-02-2020",12689,5,117,12567,122
"World","28","17-02-2020",12817,5,128,12684,133
"World","29","18-02-2020",12914,5,153,12756,158
"World","30","19-02-2020",12989,8,168,12813,176
"World","31","20-02-2020",13123,9,174,12940,183
"World","32","21-02-2020",13547,13,196,13338,209
"World","33","22-02-2020",13881,15,198,13668,213
"World","34","23-02-2020",14210,23,224,13963,247
"World","35","24-02-2020",14592,33,237,14322,270
"World","36","25-02-2020",14938,42,255,14641,297
"World","37","26-02-2020",15505,51,321,15133,372
"World","38","27-02-2020",16455,66,369,16020,435
"World","39","28-02-2020",17503,78,410,17015,488
"World","40","29-02-2020",18971,100,493,18378,593
"World","41","01-03-2020",20759,120,588,20051,708
"World","42","02-03-2020",22501,167,782,21552,949
"World","43","03-03-2020",24920,209,815,23896,1024
"World","44","04-03-2020",27085,267,1206,25612,1473
"World","45","05-03-2020",29713,329,1547,27837,1876
"World","46","06-03-2020",33511,412,1938,31161,2350
"World","47","07-03-2020",37474,482,2841,34151,3323
